run, type, time, cluster, distance.mean, distance.sd, count
0, skm, 5.250000, 92, 0.000000, 0.000000, 1
0, skm, 5.250000, 93, 1.405009, 0.178044, 93
0, skm, 5.250000, 94, 1.566592, 0.182298, 66
0, skm, 5.250000, 95, 1.426866, 0.715404, 5
0, skm, 5.250000, 96, 1.658886, 0.502027, 13
0, skm, 5.250000, 97, 0.866601, 0.866601, 2
0, skm, 5.250000, 98, 1.523429, 0.298108, 84
0, skm, 5.250000, 99, 0.000000, 0.000000, 1
0, skm, 5.250000, 100, 2.006056, 0.587742, 93
0, skm, 5.250000, 101, 1.981395, 0.581474, 87
0, skm, 5.250000, 102, 0.000000, 0.000000, 1
0, skm, 5.250000, 103, 1.860612, 0.557971, 13
0, skm, 5.250000, 104, 2.056377, 0.566981, 15
0, skm, 5.250000, 105, 1.807018, 0.292251, 45
0, skm, 5.250000, 106, 1.682382, 0.218390, 41
0, skm, 5.250000, 107, 1.748490, 0.222178, 22
0, skm, 5.250000, 108, 1.736246, 0.229926, 17
0, skm, 5.250000, 109, 1.819648, 0.290829, 32
0, skm, 5.250000, 110, 0.000000, 0.000000, 1
0, skm, 5.250000, 111, 1.807605, 0.911753, 5
0, skm, 5.250000, 112, 1.891525, 0.254472, 23
0, skm, 5.250000, 113, 1.786554, 0.377317, 10
0, skm, 5.250000, 114, 2.048491, 0.400663, 25
0, skm, 5.250000, 115, 0.000000, 0.000000, 1
0, skm, 5.250000, 116, 2.204993, 0.504712, 22
0, skm, 5.250000, 117, 1.141088, 1.141088, 2
0, skm, 5.250000, 118, 1.996000, 0.293723, 23
0, skm, 5.250000, 119, 2.193211, 0.311018, 22
0, skm, 5.250000, 120, 2.325642, 0.329615, 18
0, skm, 5.250000, 121, 2.596811, 0.793473, 13
0, skm, 5.250000, 122, 2.589431, 0.923027, 18
0, skm, 5.250000, 123, 2.175465, 0.253392, 9
0, skm, 5.250000, 124, 2.900246, 0.773120, 18
0, skm, 5.250000, 125, 3.075980, 1.071367, 11
0, skm, 5.250000, 126, 2.767497, 0.799927, 9
0, skm, 5.250000, 127, 3.009668, 0.806257, 10
0, skm, 5.250000, 128, 3.115758, 1.813422, 4
0, skm, 5.250000, 129, 3.126807, 0.568538, 10
0, skm, 5.250000, 130, 2.910305, 0.674568, 10
0, skm, 5.250000, 131, 2.669462, 0.555005, 4
0, skm, 5.250000, 132, 2.091483, 1.479632, 3
0, skm, 5.250000, 133, 2.766414, 1.646669, 4
0, skm, 5.250000, 134, 3.625679, 0.891126, 15
0, skm, 5.250000, 135, 2.634293, 0.476950, 3
0, skm, 5.250000, 136, 3.158628, 0.690966, 12
0, skm, 5.250000, 137, 2.570921, 0.280034, 4
0, skm, 5.250000, 138, 0.000000, 0.000000, 1
0, skm, 5.250000, 139, 2.877807, 0.298420, 5
0, skm, 5.250000, 140, 0.000000, 0.000000, 1
0, skm, 5.250000, 141, 2.602747, 0.923215, 3
0, skm, 5.250000, 142, 2.809375, 0.402529, 5
0, skm, 5.250000, 143, 2.736720, 1.954574, 3
0, skm, 5.250000, 144, 3.844257, 1.402285, 4
0, skm, 5.250000, 145, 2.905363, 2.056453, 3
0, skm, 5.250000, 146, 2.649182, 0.298678, 3
0, skm, 5.250000, 147, 2.016729, 0.000000, 2
0, skm, 5.250000, 148, 3.126887, 0.584450, 5
0, skm, 5.250000, 149, 3.893034, 1.120705, 5
0, skm, 5.250000, 150, 0.000000, 0.000000, 1
