run,type,time,cluster,distance.mean,distance.sd,distance.q0,distance.q1,distance.q2,distance.q3,distance.q4,count
0,skm,5.885000,15,0.608819,0.098040,0.435029,0.533354,0.585839,0.661659,0.916427,973
0,skm,5.885000,16,0.790656,0.097233,0.000000,0.764315,0.799069,0.828985,0.899244,87
0,skm,5.885000,17,0.678625,0.078174,0.469630,0.621889,0.666280,0.730065,0.905790,695
0,skm,5.885000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,20,0.632220,0.053037,0.493341,0.594547,0.628143,0.664131,0.830757,520
0,skm,5.885000,21,0.658883,0.050530,0.511339,0.623146,0.658192,0.688446,0.849260,389
0,skm,5.885000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,26,0.675119,0.054881,0.517075,0.636364,0.671372,0.707219,0.859662,495
0,skm,5.885000,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,30,0.703671,0.072304,0.517752,0.649933,0.695070,0.750202,0.915456,667
0,skm,5.885000,31,0.428447,0.428447,0.000000,0.214224,0.428447,0.642671,0.856895,2
0,skm,5.885000,32,0.412171,0.412171,0.000000,0.206086,0.412171,0.618257,0.824343,2
0,skm,5.885000,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,34,0.793785,0.186322,0.000000,0.808787,0.837607,0.855958,0.918326,20
0,skm,5.885000,35,0.630793,0.365444,0.000000,0.605050,0.817069,0.842812,0.889032,4
0,skm,5.885000,36,0.537220,0.327204,0.000000,0.412059,0.660124,0.785285,0.828631,4
0,skm,5.885000,37,0.750585,0.080130,0.556704,0.684262,0.733087,0.802372,0.988295,730
0,skm,5.885000,38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,40,0.779450,0.081224,0.591953,0.720376,0.776918,0.838216,0.993745,680
0,skm,5.885000,41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,43,0.838668,0.062484,0.609495,0.788714,0.821032,0.876123,1.130598,264
0,skm,5.885000,44,0.812279,0.083730,0.627659,0.743788,0.805849,0.867643,1.094402,607
0,skm,5.885000,45,0.881356,0.283269,0.000000,0.932444,0.950003,0.971114,1.106152,11
0,skm,5.885000,46,0.627268,0.443578,0.000000,0.467151,0.934302,0.940902,0.947501,3
0,skm,5.885000,47,0.852538,0.275792,0.000000,0.907108,0.933249,0.978854,1.006661,11
0,skm,5.885000,48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,49,0.556877,0.395064,0.000000,0.398107,0.796214,0.835316,0.874417,3
0,skm,5.885000,50,0.492123,0.492123,0.000000,0.246062,0.492123,0.738185,0.984246,2
0,skm,5.885000,51,0.675666,0.390461,0.000000,0.655474,0.891603,0.911795,0.919460,4
0,skm,5.885000,52,0.855841,0.076480,0.639480,0.796003,0.850698,0.910134,1.050756,439
0,skm,5.885000,53,0.459792,0.459792,0.000000,0.229896,0.459792,0.689688,0.919583,2
0,skm,5.885000,54,0.877638,0.073508,0.664948,0.823520,0.868075,0.920252,1.089753,237
0,skm,5.885000,55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,56,0.869274,0.083183,0.656913,0.805839,0.860739,0.921671,1.130197,308
0,skm,5.885000,57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,59,0.936697,0.093502,0.660400,0.864790,0.923637,0.989517,1.291496,362
0,skm,5.885000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,62,0.976659,0.119561,0.676369,0.885076,0.956243,1.048631,1.317573,397
0,skm,5.885000,63,0.987552,0.446316,0.000000,1.091638,1.170616,1.226422,1.273744,6
0,skm,5.885000,64,1.010097,0.114435,0.763740,0.921882,0.993752,1.072347,1.352914,315
0,skm,5.885000,65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,66,0.563062,0.563062,0.000000,0.281531,0.563062,0.844593,1.126124,2
0,skm,5.885000,67,1.078668,0.117477,0.689384,1.030015,1.105359,1.136959,1.310044,62
0,skm,5.885000,68,0.994629,0.094095,0.776480,0.923125,0.986177,1.066780,1.201867,238
0,skm,5.885000,69,1.024824,0.112336,0.791136,0.933108,0.999544,1.083099,1.355780,206
0,skm,5.885000,70,0.793661,0.562252,0.000000,0.574228,1.148455,1.190492,1.232528,3
0,skm,5.885000,71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,72,1.071082,0.108440,0.846288,0.967722,1.052995,1.144633,1.389757,219
0,skm,5.885000,73,1.133559,0.105755,0.795439,1.071309,1.120767,1.191377,1.507589,128
0,skm,5.885000,74,1.096875,0.126775,0.802173,0.996905,1.067910,1.169433,1.537987,196
0,skm,5.885000,75,0.939656,0.667337,0.000000,0.666685,1.333370,1.409484,1.485598,3
0,skm,5.885000,76,0.645191,0.645191,0.000000,0.322596,0.645191,0.967787,1.290383,2
0,skm,5.885000,77,1.196228,0.143281,0.858090,1.072922,1.153637,1.274332,1.662246,169
0,skm,5.885000,78,1.317340,0.266615,0.901242,1.105222,1.249152,1.448062,1.991416,218
0,skm,5.885000,79,1.391334,0.229861,0.950652,1.206361,1.363736,1.549658,1.881742,173
0,skm,5.885000,80,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,81,1.308658,0.171690,0.981808,1.151841,1.305734,1.431888,1.690954,144
